pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,pathway_type,traversal_time,wheelchair_traversal_time,ramp_slope,stair_count,pathway_name,pathway_code,signposted_as,instructions
qnctr-015,32005,Quincy Center,,0,2,108,210,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-016,70101,32000,,0,2,120,-1,,,Red Line (Braintree) to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-017,70101,32001,,0,2,101,196,,,Red Line (Braintree) to Busway,,Busway,
qnctr-018,70101,32002,,0,2,111,208,,,Red Line (Braintree) to Busway,,Busway,
qnctr-019,70101,32003,,0,2,120,221,,,Red Line (Braintree) to Busway,,Busway,
qnctr-020,70101,32004,,0,2,130,233,,,Red Line (Braintree) to Busway,,Busway,
qnctr-021,70101,32005,,0,2,140,246,,,Red Line (Braintree) to Busway,,Busway,
qnctr-022,32000,70101,,0,2,101,-1,,,Burgin Pkwy bus stop to Red Line (Braintree),,Outbound - Braintree,
qnctr-023,32001,70101,,0,2,83,154,,,Busway to Red Line (Braintree),,Outbound - Braintree,
qnctr-024,32002,70101,,0,2,93,167,,,Busway to Red Line (Braintree),,Outbound - Braintree,
qnctr-025,32003,70101,,0,2,102,131,,,Busway to Red Line (Braintree),,Outbound - Braintree,
qnctr-026,32004,70101,,0,2,112,192,,,Busway to Red Line (Braintree),,Outbound - Braintree,
qnctr-027,32005,70101,,0,2,122,204,,,Busway to Red Line (Braintree),,Outbound - Braintree,
qnctr-028,70102,32000,,0,2,120,-1,,,Red Line (Alewife) to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-029,70102,32001,,0,2,101,196,,,Red Line (Alewife) to Busway,,Busway,
qnctr-030,70102,32002,,0,2,111,208,,,Red Line (Alewife) to Busway,,Busway,
qnctr-031,70102,32003,,0,2,120,221,,,Red Line (Alewife) to Busway,,Busway,
qnctr-032,70102,32004,,0,2,130,233,,,Red Line (Alewife) to Busway,,Busway,
qnctr-033,70102,32005,,0,2,140,246,,,Red Line (Alewife) to Busway,,Busway,
qnctr-034,32000,70102,,0,2,101,-1,,,Burgin Pkwy bus stop to Red Line (Alewife),,Inbound - Alewife,
qnctr-035,32001,70102,,0,2,83,154,,,Busway to Red Line (Alewife),,Inbound - Alewife,
qnctr-036,32002,70102,,0,2,93,167,,,Busway to Red Line (Alewife),,Inbound - Alewife,
qnctr-037,32003,70102,,0,2,102,131,,,Busway to Red Line (Alewife),,Inbound - Alewife,
qnctr-038,32004,70102,,0,2,112,192,,,Busway to Red Line (Alewife),,Inbound - Alewife,
qnctr-039,32005,70102,,0,2,122,204,,,Busway to Red Line (Alewife),,Inbound - Alewife,
qnctr-040,32000,32001,,0,2,48,-1,,,Burgin Pkwy bus stop to Busway,,Busway,
qnctr-041,32000,32002,,0,2,58,-1,,,Burgin Pkwy bus stop to Busway,,Busway,
qnctr-042,32000,32003,,0,2,68,-1,,,Burgin Pkwy bus stop to Busway,,Busway,
qnctr-043,32000,32004,,0,2,77,-1,,,Burgin Pkwy bus stop to Busway,,Busway,
qnctr-044,32000,32005,,0,2,87,-1,,,Burgin Pkwy bus stop to Busway,,Busway,
qnctr-045,32001,32000,,0,2,48,-1,,,Busway to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-046,32001,32002,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-047,32001,32003,,0,2,20,26,,,Busway to Busway,,Busway,
qnctr-048,32001,32004,,0,2,30,38,,,Busway to Busway,,Busway,
qnctr-049,32001,32005,,0,2,39,51,,,Busway to Busway,,Busway,
qnctr-050,32002,32000,,0,2,59,-1,,,Busway to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-051,32002,32001,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-052,32002,32003,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-053,32002,32004,,0,2,20,26,,,Busway to Busway,,Busway,
qnctr-054,32002,32005,,0,2,30,38,,,Busway to Busway,,Busway,
qnctr-055,32003,32000,,0,2,69,-1,,,Busway to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-056,32003,32001,,0,2,20,26,,,Busway to Busway,,Busway,
qnctr-057,32003,32002,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-058,32003,32004,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-059,32003,32005,,0,2,20,26,,,Busway to Busway,,Busway,
qnctr-060,32004,32000,,0,2,79,-1,,,Busway to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-061,32004,32001,,0,2,30,38,,,Busway to Busway,,Busway,
qnctr-062,32004,32002,,0,2,20,26,,,Busway to Busway,,Busway,
qnctr-063,32004,32003,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-064,32004,32005,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-065,32005,32000,,0,2,88,-1,,,Busway to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-066,32005,32001,,0,2,39,51,,,Busway to Busway,,Busway,
qnctr-067,32005,32002,,0,2,30,38,,,Busway to Busway,,Busway,
qnctr-068,32005,32003,,0,2,20,26,,,Busway to Busway,,Busway,
qnctr-069,32005,32004,,0,2,10,13,,,Busway to Busway,,Busway,
qnctr-070,70101,70102,,0,2,16,21,,,Red Line (Braintree) to Red Line (Alewife),,Inbound - Alewife,
qnctr-071,70102,70101,,0,2,16,21,,,Red Line (Alewife) to Red Line (Braintree),,Outbound - Braintree,
qnctr-072,70101,door-qnctr-burgin,,0,1,110,-1,,,Red Line (Braintree) to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-073,door-qnctr-burgin,70101,,0,1,91,-1,,,Quincy Center - Burgin Parkway to Red Line (Braintree),,Outbound - Braintree,
qnctr-074,70102,door-qnctr-burgin,,0,1,110,-1,,,Red Line (Alewife) to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-075,door-qnctr-burgin,70102,,0,1,91,-1,,,Quincy Center - Burgin Parkway to Red Line (Alewife),,Inbound - Alewife,
qnctr-076,32000,door-qnctr-burgin,,0,1,10,-1,,,Burgin Pkwy bus stop to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-077,door-qnctr-burgin,32000,,0,1,10,-1,,,Quincy Center - Burgin Parkway to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-078,32001,door-qnctr-burgin,,0,1,40,-1,,,Busway to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-079,door-qnctr-burgin,32001,,0,1,39,-1,,,Quincy Center - Burgin Parkway to Busway,,Busway,
qnctr-080,32002,door-qnctr-burgin,,0,1,49,-1,,,Busway to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-081,door-qnctr-burgin,32002,,0,1,48,-1,,,Quincy Center - Burgin Parkway to Busway,,Busway,
qnctr-082,32003,door-qnctr-burgin,,0,1,59,-1,,,Busway to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-083,door-qnctr-burgin,32003,,0,1,58,-1,,,Quincy Center - Burgin Parkway to Busway,,Busway,
qnctr-084,32004,door-qnctr-burgin,,0,1,69,-1,,,Busway to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-085,door-qnctr-burgin,32004,,0,1,68,-1,,,Quincy Center - Burgin Parkway to Busway,,Busway,
qnctr-086,32005,door-qnctr-burgin,,0,1,79,-1,,,Busway to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-087,door-qnctr-burgin,32005,,0,1,77,-1,,,Quincy Center - Burgin Parkway to Busway,,Busway,
qnctr-088,Quincy Center,door-qnctr-burgin,,0,1,94,-1,,,Commuter Rail to Quincy Center - Burgin Parkway,,Quincy Center - Burgin Parkway,
qnctr-089,door-qnctr-burgin,Quincy Center,,0,1,77,-1,,,Quincy Center - Burgin Parkway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
qnctr-090,70101,door-qnctr-busway,,0,1,91,183,,,Red Line (Braintree) to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-091,door-qnctr-busway,70101,,0,1,73,142,,,Quincy Center - Hancock St to Red Line (Braintree),,Outbound - Braintree,
qnctr-092,70102,door-qnctr-busway,,0,1,91,183,,,Red Line (Alewife) to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-093,door-qnctr-busway,70102,,0,1,73,142,,,Quincy Center - Hancock St to Red Line (Alewife),,Inbound - Alewife,
qnctr-094,32000,door-qnctr-busway,,0,1,29,-1,,,Burgin Pkwy bus stop to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-095,door-qnctr-busway,32000,,0,1,30,-1,,,Quincy Center - Hancock St to Burgin Pkwy bus stop,,Burgin Pkwy bus stop,
qnctr-096,32001,door-qnctr-busway,,0,1,10,13,,,Busway to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-097,door-qnctr-busway,32001,,0,1,10,13,,,Quincy Center - Hancock St to Busway,,Busway,
qnctr-098,32002,door-qnctr-busway,,0,1,20,26,,,Busway to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-099,door-qnctr-busway,32002,,0,1,20,26,,,Quincy Center - Hancock St to Busway,,Busway,
qnctr-100,32003,door-qnctr-busway,,0,1,30,38,,,Busway to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-101,door-qnctr-busway,32003,,0,1,30,38,,,Quincy Center - Hancock St to Busway,,Busway,
qnctr-102,32004,door-qnctr-busway,,0,1,39,51,,,Busway to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-103,door-qnctr-busway,32004,,0,1,39,51,,,Quincy Center - Hancock St to Busway,,Busway,
qnctr-104,32005,door-qnctr-busway,,0,1,49,63,,,Busway to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-105,door-qnctr-busway,32005,,0,1,49,63,,,Quincy Center - Hancock St to Busway,,Busway,
qnctr-106,Quincy Center,door-qnctr-busway,,0,1,75,147,,,Commuter Rail to Quincy Center - Hancock St,,Quincy Center - Hancock St,
qnctr-107,door-qnctr-busway,Quincy Center,,0,1,60,147,,,Quincy Center - Hancock St to Commuter Rail,,"Commuter Rail - Boston, Outbound",
mlmnl-000,Malden Center,70034,,0,2,86,171,,,Commuter Rail to Orange Line (Forest Hills),,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-001,Malden Center,70035,,0,2,86,171,,,Commuter Rail to Orange Line (Oak Grove),,Outbound to Oak Grove,
mlmnl-002,Malden Center,5072,,0,2,80,153,,,Commuter Rail to West Busway,,West Busway,
mlmnl-003,Malden Center,5327,,0,2,76,161,,,Commuter Rail to East Busway Platform 2,,East Busway Platform 2,
mlmnl-004,Malden Center,53270,,0,2,67,150,,,Commuter Rail to East Busway Platform 1,,East Busway Platform 1,
mlmnl-005,70034,Malden Center,,0,2,104,161,,,Orange Line (Forest Hills) to Commuter Rail,,Commuter Rail,
mlmnl-006,70035,Malden Center,,0,2,104,161,,,Orange Line (Oak Grove) to Commuter Rail,,Commuter Rail,
mlmnl-007,5072,Malden Center,,0,2,90,153,,,West Busway to Commuter Rail,,Commuter Rail,
mlmnl-008,5327,Malden Center,,0,2,85,163,,,East Busway Platform 2 to Commuter Rail,,Commuter Rail,
mlmnl-009,53270,Malden Center,,0,2,76,151,,,East Busway Platform 1 to Commuter Rail,,Commuter Rail,
mlmnl-010,70034,5072,,0,2,106,126,,,Orange Line (Forest Hills) to West Busway,,West Busway,
mlmnl-011,70034,5327,,0,2,101,153,,,Orange Line (Forest Hills) to East Busway Platform 2,,East Busway Platform 2,
mlmnl-012,70034,53270,,0,2,92,142,,,Orange Line (Forest Hills) to East Busway Platform 1,,East Busway Platform 1,
mlmnl-013,5072,70034,,0,2,97,136,,,West Busway to Orange Line (Forest Hills),,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-014,5327,70034,,0,2,93,164,,,East Busway Platform 2 to Orange Line (Forest Hills),,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-015,53270,70034,,0,2,84,153,,,East Busway Platform 1 to Orange Line (Forest Hills),,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-016,70035,5072,,0,2,106,126,,,Orange Line (Oak Grove) to West Busway,,West Busway,
mlmnl-017,70035,5327,,0,2,101,153,,,Orange Line (Oak Grove) to East Busway Platform 2,,East Busway Platform 2,
mlmnl-018,70035,53270,,0,2,92,142,,,Orange Line (Oak Grove) to East Busway Platform 1,,East Busway Platform 1,
mlmnl-019,5072,70035,,0,2,97,136,,,West Busway to Orange Line (Oak Grove),,Outbound to Oak Grove,
mlmnl-020,5327,70035,,0,2,93,164,,,East Busway Platform 2 to Orange Line (Oak Grove),,Outbound to Oak Grove,
mlmnl-021,53270,70035,,0,2,84,153,,,East Busway Platform 1 to Orange Line (Oak Grove),,Outbound to Oak Grove,
mlmnl-022,5072,5327,,0,2,87,145,,,West Busway to East Busway Platform 2,,East Busway Platform 2,
mlmnl-023,5072,53270,,0,2,78,134,,,West Busway to East Busway Platform 1,,East Busway Platform 1,
mlmnl-024,5327,5072,,0,2,87,147,,,East Busway Platform 2 to West Busway,,West Busway,
mlmnl-025,53270,5072,,0,2,78,135,,,East Busway Platform 1 to West Busway,,West Busway,
mlmnl-026,5327,53270,,0,2,47,61,,,East Busway Platform 2 to East Busway Platform 1,,East Busway Platform 1,
mlmnl-027,53270,5327,,0,2,47,61,,,East Busway Platform 1 to East Busway Platform 2,,East Busway Platform 2,
mlmnl-028,70034,70035,,0,2,16,21,,,Orange Line (Forest Hills) to Orange Line (Oak Grove),,Outbound to Oak Grove,
mlmnl-029,70035,70034,,0,2,16,21,,,Orange Line (Oak Grove) to Orange Line (Forest Hills),,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-030,70034,door-mlmnl-pleasant,,0,1,74,85,,,"Orange Line (Forest Hills) to Malden Center - Summer St, Pleasant St",,"Malden Center - Summer St, Pleasant St",
mlmnl-031,door-mlmnl-pleasant,70034,,0,1,66,95,,,"Malden Center - Summer St, Pleasant St to Orange Line (Forest Hills)",,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-032,70035,door-mlmnl-pleasant,,0,1,74,85,,,"Orange Line (Oak Grove) to Malden Center - Summer St, Pleasant St",,"Malden Center - Summer St, Pleasant St",
mlmnl-033,door-mlmnl-pleasant,70035,,0,1,66,95,,,"Malden Center - Summer St, Pleasant St to Orange Line (Oak Grove)",,Outbound to Oak Grove,
mlmnl-034,5072,door-mlmnl-pleasant,,0,1,32,41,,,"West Busway to Malden Center - Summer St, Pleasant St",,"Malden Center - Summer St, Pleasant St",
mlmnl-035,door-mlmnl-pleasant,5072,,0,1,32,41,,,"Malden Center - Summer St, Pleasant St to West Busway",,West Busway,
mlmnl-036,5327,door-mlmnl-pleasant,,0,1,55,106,,,"East Busway Platform 2 to Malden Center - Summer St, Pleasant St",,"Malden Center - Summer St, Pleasant St",
mlmnl-037,door-mlmnl-pleasant,5327,,0,1,55,105,,,"Malden Center - Summer St, Pleasant St to East Busway Platform 2",,East Busway Platform 2,
mlmnl-038,53270,door-mlmnl-pleasant,,0,1,46,94,,,"East Busway Platform 1 to Malden Center - Summer St, Pleasant St",,"Malden Center - Summer St, Pleasant St",
mlmnl-039,door-mlmnl-pleasant,53270,,0,1,46,93,,,"Malden Center - Summer St, Pleasant St to East Busway Platform 1",,East Busway Platform 1,
mlmnl-040,Malden Center,door-mlmnl-pleasant,,0,1,49,112,,,"Commuter Rail to Malden Center - Summer St, Pleasant St",,"Malden Center - Summer St, Pleasant St",
mlmnl-041,door-mlmnl-pleasant,Malden Center,,0,1,58,112,,,"Malden Center - Summer St, Pleasant St to Commuter Rail",,Commuter Rail,
mlmnl-042,70034,door-mlmnl-commercial,,0,1,70,108,,,"Orange Line (Forest Hills) to Malden Center - Commercial St, Malden Government Center",,"Malden Center - Commercial St, Malden Government Center",
mlmnl-043,door-mlmnl-commercial,70034,,0,1,62,108,,,"Malden Center - Commercial St, Malden Government Center to Orange Line (Forest Hills)",,Inbound to Forest Hills via State and Downtown Crossing,
mlmnl-044,70035,door-mlmnl-commercial,,0,1,70,108,,,"Orange Line (Oak Grove) to Malden Center - Commercial St, Malden Government Center",,"Malden Center - Commercial St, Malden Government Center",
mlmnl-045,door-mlmnl-commercial,70035,,0,1,62,108,,,"Malden Center - Commercial St, Malden Government Center to Orange Line (Oak Grove)",,Outbound to Oak Grove,
mlmnl-046,5072,door-mlmnl-commercial,,0,1,56,89,,,"West Busway to Malden Center - Commercial St, Malden Government Center",,"Malden Center - Commercial St, Malden Government Center",
mlmnl-047,door-mlmnl-commercial,5072,,0,1,56,90,,,"Malden Center - Commercial St, Malden Government Center to West Busway",,West Busway,
mlmnl-048,5327,door-mlmnl-commercial,,0,1,32,57,,,"East Busway Platform 2 to Malden Center - Commercial St, Malden Government Center",,"Malden Center - Commercial St, Malden Government Center",
mlmnl-049,door-mlmnl-commercial,5327,,0,1,32,57,,,"Malden Center - Commercial St, Malden Government Center to East Busway Platform 2",,East Busway Platform 2,
mlmnl-050,53270,door-mlmnl-commercial,,0,1,23,45,,,"East Busway Platform 1 to Malden Center - Commercial St, Malden Government Center",,"Malden Center - Commercial St, Malden Government Center",
mlmnl-051,door-mlmnl-commercial,53270,,0,1,23,45,,,"Malden Center - Commercial St, Malden Government Center to East Busway Platform 1",,East Busway Platform 1,
mlmnl-052,Malden Center,door-mlmnl-commercial,,0,1,44,105,,,"Commuter Rail to Malden Center - Commercial St, Malden Government Center",,"Malden Center - Commercial St, Malden Government Center",
mlmnl-053,door-mlmnl-commercial,Malden Center,,0,1,54,106,,,"Malden Center - Commercial St, Malden Government Center to Commuter Rail",,Commuter Rail,
brntn-000,Braintree,70105,,0,2,271,354,,,Commuter Rail to Red Line,,Inbound,
brntn-001,Braintree,38671,,0,2,247,332,,,Commuter Rail to Busway,,Busway,
brntn-002,70105,Braintree,,0,2,278,343,,,Red Line to Commuter Rail,,"Commuter Rail - Boston, Plymouth and Kingston",
brntn-003,38671,Braintree,,0,2,258,337,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Plymouth and Kingston",
brntn-004,70105,38671,,0,2,71,83,,,Red Line to Busway,,Busway,
brntn-005,38671,70105,,0,2,79,93,,,Busway to Red Line,,Inbound,
brntn-006,70105,door-brntn-busway,,0,1,63,72,,,"Red Line to Braintree - Garage, Buses, Ivory St",,"Braintree - Garage, Buses, Ivory St",
brntn-007,door-brntn-busway,70105,,0,1,71,83,,,"Braintree - Garage, Buses, Ivory St to Red Line",,Inbound,
brntn-008,38671,door-brntn-busway,,0,1,9,11,,,"Busway to Braintree - Garage, Buses, Ivory St",,"Braintree - Garage, Buses, Ivory St",
brntn-009,door-brntn-busway,38671,,0,1,9,11,,,"Braintree - Garage, Buses, Ivory St to Busway",,Busway,
brntn-010,Braintree,door-brntn-busway,,0,1,255,342,,,"Commuter Rail to Braintree - Garage, Buses, Ivory St",,"Braintree - Garage, Buses, Ivory St",
brntn-011,door-brntn-busway,Braintree,,0,1,267,348,,,"Braintree - Garage, Buses, Ivory St to Commuter Rail",,"Commuter Rail - Boston, Plymouth and Kingston",
brntn-012,70105,door-brntn-faregates,,0,1,62,72,,,"Red Line to Braintree - Garage, Buses, Union St",,"Braintree - Garage, Buses, Union St",
brntn-013,door-brntn-faregates,70105,,0,1,71,82,,,"Braintree - Garage, Buses, Union St to Red Line",,Inbound,
brntn-014,38671,door-brntn-faregates,,0,1,47,60,,,"Busway to Braintree - Garage, Buses, Union St",,"Braintree - Garage, Buses, Union St",
brntn-015,door-brntn-faregates,38671,,0,1,47,60,,,"Braintree - Garage, Buses, Union St to Busway",,Busway,
brntn-016,Braintree,door-brntn-faregates,,0,1,201,272,,,"Commuter Rail to Braintree - Garage, Buses, Union St",,"Braintree - Garage, Buses, Union St",
brntn-017,door-brntn-faregates,Braintree,,0,1,212,278,,,"Braintree - Garage, Buses, Union St to Commuter Rail",,"Commuter Rail - Boston, Plymouth and Kingston",
jfk-000,JFK/UMASS,70085,,0,2,159,350,,,Commuter Rail to Red Line (Ashmont),,Outbound to Ashmont,
jfk-001,JFK/UMASS,70086,,0,2,159,350,,,Commuter Rail to Red Line (Alewife from Ashmont),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-002,JFK/UMASS,70095,,0,2,159,350,,,Commuter Rail to Red Line (Braintree),,Outbound to Braintree,
jfk-003,JFK/UMASS,70096,,0,2,159,350,,,Commuter Rail to Red Line (Alewife from Braintree),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-004,JFK/UMASS,121,,0,2,94,121,,,Commuter Rail to Busway,,Busway,
jfk-005,70085,JFK/UMASS,,0,2,154,331,,,Red Line (Ashmont) to Commuter Rail,,"Commuter Rail - Boston, Outbound",
jfk-006,70086,JFK/UMASS,,0,2,154,331,,,Red Line (Alewife from Ashmont) to Commuter Rail,,"Commuter Rail - Boston, Outbound",
jfk-007,70095,JFK/UMASS,,0,2,154,331,,,Red Line (Braintree) to Commuter Rail,,"Commuter Rail - Boston, Outbound",
jfk-008,70096,JFK/UMASS,,0,2,154,331,,,Red Line (Alewife from Braintree) to Commuter Rail,,"Commuter Rail - Boston, Outbound",
jfk-009,121,JFK/UMASS,,0,2,94,121,,,Busway to Commuter Rail,,"Commuter Rail - Boston, Outbound",
jfk-010,121,70085,,0,2,145,276,,,Busway to Red Line (Ashmont),,Outbound to Ashmont,
jfk-011,121,70086,,0,2,145,276,,,Busway to Red Line (Alewife from Ashmont),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-012,121,70095,,0,2,145,276,,,Busway to Red Line (Braintree),,Outbound to Braintree,
jfk-013,121,70096,,0,2,145,276,,,Busway to Red Line (Alewife from Braintree),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-014,70085,121,,0,2,140,257,,,Red Line (Ashmont) to Busway,,Busway,
jfk-015,70086,121,,0,2,140,257,,,Red Line (Alewife from Ashmont) to Busway,,Busway,
jfk-016,70095,121,,0,2,140,257,,,Red Line (Braintree) to Busway,,Busway,
jfk-017,70096,121,,0,2,140,257,,,Red Line (Alewife from Braintree) to Busway,,Busway,
jfk-018,70085,70086,,0,2,16,21,,,Red Line (Ashmont) to Red Line (Alewife from Ashmont),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-019,70086,70085,,0,2,16,21,,,Red Line (Alewife from Ashmont) to Red Line (Ashmont),,Outbound to Ashmont,
jfk-020,70095,70096,,0,2,16,21,,,Red Line (Braintree) to Red Line (Alewife from Braintree),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-021,70096,70095,,0,2,16,21,,,Red Line (Alewife from Braintree) to Red Line (Braintree),,Outbound to Braintree,
jfk-022,70085,70095,,0,2,58,122,,,Red Line (Ashmont) to Red Line (Braintree),,Outbound to Braintree,
jfk-023,70085,70096,,0,2,58,122,,,Red Line (Ashmont) to Red Line (Alewife from Braintree),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-024,70086,70095,,0,2,58,122,,,Red Line (Alewife from Ashmont) to Red Line (Braintree),,Outbound to Braintree,
jfk-025,70086,70096,,0,2,58,122,,,Red Line (Alewife from Ashmont) to Red Line (Alewife from Braintree),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-026,70095,70085,,0,2,58,122,,,Red Line (Braintree) to Red Line (Ashmont),,Outbound to Ashmont,
jfk-027,70095,70086,,0,2,58,122,,,Red Line (Braintree) to Red Line (Alewife from Ashmont),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-028,70096,70085,,0,2,58,122,,,Red Line (Alewife from Braintree) to Red Line (Ashmont),,Outbound to Ashmont,
jfk-029,70096,70086,,0,2,58,122,,,Red Line (Alewife from Braintree) to Red Line (Alewife from Ashmont),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-030,70085,door-jfk-columbia,,0,1,77,156,,,Red Line (Ashmont) to JFK/UMass - Columbia Rd,,JFK/UMass - Columbia Rd,
jfk-031,door-jfk-columbia,70085,,0,1,107,156,,,JFK/UMass - Columbia Rd to Red Line (Ashmont),,Outbound to Ashmont,
jfk-032,70086,door-jfk-columbia,,0,1,77,156,,,Red Line (Alewife from Ashmont) to JFK/UMass - Columbia Rd,,JFK/UMass - Columbia Rd,
jfk-033,door-jfk-columbia,70086,,0,1,107,156,,,JFK/UMass - Columbia Rd to Red Line (Alewife from Ashmont),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-034,70095,door-jfk-columbia,,0,1,81,156,,,Red Line (Braintree) to JFK/UMass - Columbia Rd,,JFK/UMass - Columbia Rd,
jfk-035,door-jfk-columbia,70095,,0,1,107,156,,,JFK/UMass - Columbia Rd to Red Line (Braintree),,Outbound to Braintree,
jfk-036,70096,door-jfk-columbia,,0,1,81,156,,,Red Line (Alewife from Braintree) to JFK/UMass - Columbia Rd,,JFK/UMass - Columbia Rd,
jfk-037,door-jfk-columbia,70096,,0,1,107,156,,,JFK/UMass - Columbia Rd to Red Line (Alewife from Braintree),,Inbound to Alewife via Park St. and Downtown Crossing,
jfk-038,121,door-jfk-columbia,,0,1,171,280,,,Busway to JFK/UMass - Columbia Rd,,JFK/UMass - Columbia Rd,
jfk-039,door-jfk-columbia,121,,0,1,168,274,,,JFK/UMass - Columbia Rd to Busway,,Busway,
jfk-040,JFK/UMASS,door-jfk-columbia,,0,1,78,353,,,Commuter Rail to JFK/UMass - Columbia Rd,,JFK/UMass - Columbia Rd,
jfk-041,door-jfk-columbia,JFK/UMASS,,0,1,75,348,,,JFK/UMass - Columbia Rd to Commuter Rail,,"Commuter Rail - Boston, Outbound",
jfk-042,70085,door-jfk-sydneys,,0,1,84,-1,,,Red Line (Ashmont) to JFK/UMass - Sydney St (South),,JFK/UMass - Sydney St (South),
